station_id,station_name,new_station_name,region,province,city,barangay,date_established,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,horizontal_coords_source,horizontal_date_entry,horizontal_datum,horizontal_reference,elevation_horizontal_datum,horizontal_authority,horizontal_order,horizontal_date_computed,horizontal_fix,elevation,ellipsoidal_height,elevation_date_entry,elevation_datum,elevation_established_datum,elevation_authority,elevation_order,elevation_date_computed,elevation_fix,mark_status,mark_type,mark_const,authority,wgs84ND,wgs84NM,wgs84NS,wgs84ED,wgs84EM,wgs84ES,ellipz,image,inscription,description,encoder,ucode,latitude,longitude,date_updated,bm_plus,accuracy_class,lon,lat,elevation_alt,latitude_decimal,longitude_decimal,status_tag,epoch
,MM-745 (PCP-54),0,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,PUTATAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,9.2075,0,11/30/1999,1,,,1,09/17/2019,1,1,26,10,NAMRIA,0,0,0,0,0,0,0,,,"""BM POP-54 Benchmark is located at Bgy. Putatan, City of Muntinlupa, Metro Manila. Right side of Maharlika Highway going to San Pedro, at the parking lot of Puregold Agro, near the northern entrance."" Mark is the head of a 2 inches screw bolt,centered and embedded on 15 x 15 cm cement putty with the inscription ""POP-54, 2018"".",Edil,88050,14.3976388888889,121.045188888889,06/29/2022 9:13:57 AM,0.013155,1 CM,121 2 42.68,14 23 51.50,0,,,0,
,MM-746 (GPS-S27),0,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,PUTATAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,12.6862,0,11/30/1999,1,,,1,09/17/2019,1,1,23,10,NAMRIA,0,0,0,0,0,0,0,,,"""BM GPS-S27 is located in Bgy. Putatan, Muntinlupa City. Right side of Maharlika Highway going to San Pedro, at the sidewalk, opposite side is a Seven Eleven convenience store, about 60 m. Southwest of Muntinlupa Police Headquarters."" Mark is the head of a 3 inches stainless bolt, centered and embedded on 25 x 25 cm cement putty with inscription ""NSRP, GPS-S27, JDT, 2018"".",Christian Samin,88051,14.3874916666667,121.045430555556,09/02/2022 2:25:02 PM,0.014687,2 CM,121 2 43.55,14 23 14.97,0,,,0,
,MM-19A,0,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,POBLACION,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,9.3323,0,11/30/1999,1,,,1,09/17/2019,4,1,23,10,NAMRIA,0,0,0,0,0,0,0,,,"""BM MM-19A Benchmark is in Bgy. Poblacion, City of Muntinlupa, Metro Manila. It is located right side of Maharlika Highway going to San Pedro, at the sidewalk near the Southern entrance gate of Jesus The Good Shepperd Church, opposite side is a Caltex Gasoline Station."" Mark is a rounded stainless steel plate with inscription ""CONTROL POINT, CRDC"".",Melchor Degollado Jr,88052,14.3817111111111,121.044555555556,05/12/2022 9:31:50 AM,0.015395,2 CM,121 2 40.40,14 22 54.16,0,,,0,
,MMA-3976,0,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,TUNASAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,8.1454,0,11/30/1999,1,,,1,09/17/2019,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"""MMA-3976 station is located at Bgy. Tunasan, City of Muntinlupa, Metro Manila left side of Maharlika Highway going to San Pedro, at the sidewalk infront of a Mercury Drugstore, at the intersection of Maharlika Highway and Rodriguez St., near the marker of Brgy Tunasan."" Mark is the head of a 3 in. copper nail centered on a 20 x 20 cm cement putty with the inscription ""MMA-3976, 2018, LMS NCR"".",Edil,88053,14.3763361111111,121.047191666667,06/29/2022 9:14:32 AM,0.015984,2 CM,121 2 49.89,14 22 34.81,0,,,0,
,MM-747 (MBM-2),0,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,TUNASAN,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GEODESY,0,11/30/1999,0,6.8586,0,11/30/1999,1,,,1,09/17/2019,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"""MBM-2 Station is located at Bgy. Tunasan, City of Muntinlupa. Right side of Maharlika Highway going to San Pedro, about 3 m. NW of Muntinlupa bridge, at the SE corner of a Caltex Gasoline Station. 8 m N of Puregold San Pedro"" Mark is the head of a 4 in. copper nail centered on a 25 x 25 cm concrete monument with the inscription ""MBM No. 2"".",Edil,88054,14.3691777777778,121.050352777778,06/29/2022 9:14:55 AM,0.016614,2 CM,121 3 1.27,14 22 9.04,0,,,0,
,MM-46A,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,SANTA CRUZ,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,0.0,0,11/30/1999,1,,,1,11/30/1999,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MM-46A is in the Province of Metro Manila, City of Quezon, Brgy. Sta. Cruz along Quezon Avenue corner Roosevelt Avenue. The station is located on the top of concrete sidewalk beside the Meralco concrete electric post and 19m from Mercury Drug Store. It is also 10m from the centerline of Roosevelt Avenue. Mark is the head of a 4"" copper nail set flushed on a 15cm x 15cm cement putty with inscription ""MM-46A; 2013; NAMRIA"".",Melchor Degollado Jr,88099,14.6327,121.018491666667,10/22/2019 10:04:38 AM,0.0,,121 01 06.57,14 37 57.72,0,,,0,
,MMA-3067,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,ESCOPA III,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,51.6351,0,11/30/1999,1,,,1,09/30/2022,1,1,18,10,NAMRIA,0,0,0,0,0,0,0,,,"MMA-3067 is in the Province of Metro Manila, Quezon City, Barangay Escopa III along Katipunan Avenue. The station is located at the sidewalk of Katipunan Avenue before approaching Katipunan Flyover from Libis, Quezon City. Mark is the head of a 4"" copper nail embedded on the center of a 25cm x 25cm cement putty with inscription ""MMA; 3067; 2008; LMS-NCR"".",Dexter Alamar,88105,14.6289027777778,121.074005555556,11/25/2022 9:56:37 AM,0.00691,1 CM,121 04 26.42,14 37 44.05,0,,,0,2022
,MMA-4354,0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,LIBIS,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,,0,11/30/1999,0,0.0,0,11/30/1999,1,,,1,11/30/1999,1,5,28,10,NAMRIA,0,0,0,0,0,0,0,,,"MMA-4354 is in the Province of Metro Manila, Quezon City, Barangay Libis along E. Rodriguez Jr. Avenue. It is located on the center island about 20m SW of Col. Bonny Sereno Avenue, 70m of Barangay Hall of Libis, and 50m NE of the footbridge-overpass connecting Col. Bonny Sereno Avenue and Katipunan Avenue. Mark is the head of a 8mm bolt flushed at the top center of a 25cm x 25cm x 120cm concrete monument with inscription ""QUEZON CITY; MMA-4354; CAD 1331-D; LMS-NCR; 2012; FLS"". Note: Reported Lost by Geodesy Division on September 2023",Vanessa,88110,14.6159666666667,121.074619444444,01/04/2024 9:24:21 AM,0.0,,121 04 28.63,14 36 57.48,0,,,1,
,MMA-5075 (BBM-400),0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,BAGONG PAG-ASA,11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GD,0,11/30/1999,0,38.4557,0,11/25/2019,1,,,1,01/06/2020,1,1,23,10,NAMRIA,0,0,0,0,0,0,0,,,"MMA-5075 is in Metro Manila, Municipality of Quezon City, Barangay Project 6 B, Pag-asa and Central. It is located along the ""NE"" corner of the intersection of Agham Road and Quezon Avenue. Mark is the head of 8 mm. stainless bolt flushed at the top center of a 20x20x100 cm. concrete monument protruding 30 cm. above the ground with inscription of ''Cad. 1331-D, BBM NO. 400, Quezon City''",Edil,88168,14.6465916666667,121.040738888889,07/04/2022 3:26:55 PM,0.020121,2 CM,121 2 26.66,14 38 47.73,0,,,0,
,MMA-3707 (BBM-17),0,NCR,NCR - SECOND DISTRICT,QUEZON CITY,SANTO DOMINGO (MATALAHIB),11/30/1999,11/30/1999,LUZON,0,0,0,0,0,0,,11/30/1999,0,,,GD,0,11/30/1999,0,9.2219,0,11/25/2019,1,,,1,01/06/2020,1,1,23,10,NAMRIA,0,0,0,0,0,0,0,,,"MMA-3707 (BBM-17) is in the province of Metro Manila, City of Quezon, Barangay Sto. Domingo. It is located infront of a Mc Donald Fast Food, at the ""SE"" corner of the intersection of Quezon Avenue and Banawe St., beside an electric and a traffic light post. Mark is the head of a stainless hexagonal bolt screw set flushed on a 30cm x 30cm concrete monument protruding 60cm above the ground with inscription "" BBM No. 17; QUEZON CITY"".",Edil,88174,14.6236472222222,121.007938888889,07/04/2022 3:27:06 PM,0.023578,2 CM,121 0 28.58,14 37 25.13,0,,,0,
