station_id,station_name,region,province,city,barangay,date_last_updated,island_group,latitude_degrees,latitude_minutes,latitude_seconds,longitude_degrees,longitude_minutes,longitude_seconds,utm_northing,utm_easting,utm_zone,horizontal_date_entry,horizontal_datum,horizontal_reference,horizontal_authority,horizontal_order,date_established,date_est_month,date_est_year,date_est_day,horizontal_date_computed,horizontal_fix,ellipsoidal_height,mark_status,mark_type,mark_const,authority,wgs84_north_degrees,wgs84_north_minutes,wgs84_north_seconds,wgs84_east_degrees,wgs84_east_minutes,wgs84_east_seconds,latitude,longitude,ellipz,description,encoder,status,IsAdopted,AdoptedBy,dateUpdated,utm_x,utm_y,utm_zone_alt,utm_x_wgs84,utm_y_wgs84,utm_zone_wgs84,accuracy_class,error_ellipse,height_error,itrf_lat_dd,itrf_lat_mm,itrf_lat_ss,itrf_lon_dd,itrf_lon_mm,itrf_lon_ss,itrf_ell_hgt,itrf_ell_err,itrf_hgt_err,latitude_decimal,longitude_decimal
,LM-1 (DISTURBED),NCR,"NCR - MANILA, FIRST DISTRICT",MAKATI,FORT BONIFACIO,11/30/1999,LUZON,14,32,10.83049,121,2,24.26555,1607508.514,504318.941,3.0,03/26/2004,1,PRS92,NAMRIA,3,03/27/1998,3,1998,27,03/27/1998,0,29.979,1,18,10,NAMRIA,121,2,29.164788,14,32,5.430839,14.5348418997222,121.041434663333,73.7985,LM-1 (DISTURBED) NAMRIA FORT BONIFACIO,ysn,1,0,,06/24/2022 8:51:18 AM,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.536341802777777,121.04007376388888
,LM-2 (LOST),NCR,NCR - FOURTH DISTRICT,TAGUIG CITY,FORT BONIFACIO,11/30/1999,LUZON,14,32,11.06429,121,2,20.6507,1607515.68,504210.72,3.0,12/01/2020,0,,NAMRIA,1,11/30/1999,0,0,0,11/11/2020,0,28.02336,5,18,10,NAMRIA,121,2,25.54994,14,32,5.66454,14.5349068166667,121.040430538889,71.84,,Jay Cepe,0,0,,12/01/2020 11:33:47 AM,288698.913,1607860.482,51,288846.97586,1607792.12603,51,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.536406747222221,121.03906963888889
,MCRP-1,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,SAN DIONISIO,11/30/1999,LUZON,14,29,16.26877,120,58,20.64218,1602143.828,497024.834,3.0,03/15/2010,0,PRS92,NAMRIA,3,01/21/2014,4,1997,11,11/30/1999,8,4.6247,1,18,10,NAMRIA,120,58,25.545821,14,29,10.875412,14.4863542811111,120.973762728056,48.4168,"MCRP-1 Station is in the island of Luzon, National Capitol Region (NCR) Metro Manila, municipality of Parañaque. It is situated on the W side of Manila-Cavite coastal road. It is about 950 m, S 76-41 W from BM-7 with marked ""PEA"", BM-7 is on flooring overpas of coastal road toll gate. Station is at the corner of existing cyclone fence along the batching plant and warehouse 150 m away from the gate of MCRP office compound and 15 m S away from the shoreline. Station is a 25 cm x 25 cm concrete monument and mark is the head of a nail.",Hennesey Roque,1,0,,11/27/2012,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.48785243611111,120.97240060555556
,MCRP-2 (LOST),NCR,"NCR - MANILA, FIRST DISTRICT",PARAÑAQUE,SAN DIONISIO,11/30/1999,LUZON,14,29,37.83858,120,58,33.86653,1602806.648,497420.893,3.0,05/07/1997,1,PRS92,NAMRIA,3,04/11/1997,4,1997,11,05/01/1997,0,3.43,5,0,10,NAMRIA,120,58,38.76975,14,29,32.44363,14.4923454527778,120.977436041667,47.214,"MCRP-02 IS IN THE ISLAND OF LUZON, NATIONAL CAPITAL REGION (NCR) METRO MANILA, MUNICIPALITY OF PARAÑAQUE. IT IS SITUATED ON THE W OF MANILA-CAVITE COASTAL ROAD. IT IS ABOUT 690 M. N 50-10 W FROM BM-7 WITH MARKED ""PEA"", BM-7 IS ON FLOORING OF OVERPASS OF COASTAL ROAD TOLL GATE. STATION IS LOCATED AT THE ENTRANCE OF TEMPORARY PIER ON ITS SW SIDE NEAR THE GUARD HOUSE. STATION IS A 25 CM. X 25 CM. CONCRETE MONUMENT AND MARK IS THE HEAD OF A NAIL. Reported by: NAMRIA-Geodesy Division (Mara O.) September 2018 Reason: excavated soil",TIM,1,1,3.959 M EGM2008,09/02/2020 8:03:17 AM,281866.627,1603210.031,51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.49384405,120.97607403611111
,MCRP-3,NCR,"NCR - MANILA, FIRST DISTRICT",PARANAQUE,SAN DIONISIO,11/30/1999,LUZON,14,29,55.2116,120,58,50.04689,1603340.495,497905.429,3.0,05/07/1997,1,PRS92,NAMRIA,3,04/11/1997,4,1997,11,05/01/1997,0,3.40483,1,0,10,NAMRIA,120,58,54.94967,14,29,49.81589,14.4971710805556,120.981930463889,47.186,"MCRP-03 Is in the island of Luzon, National Capital Region (NCR) Metro Manila, municipality of Parañaque, Brgy. San Dionisio. It is situated on the W side of a Manila-Cavite Coastal Road, on the W coastline of Freedom Island. It is about 977.0 m. N 02-43 W from BM-7 with mark ""PEA"", BM-7 is on the flooring of overpass of Coastal Road Toll Gate. Station is located beside the Aroma tree, 2.5 m. SW of nipa hut, and 3.10 m. SE of Nipa House. Station is a 25 cm. x 25 cm. concrete monument and mark is the head of a nail.",TIM,1,0,,08/04/2021 3:18:42 PM,282355.927,1603739.748,51,282504.16895,1603671.23756,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.498669888888887,120.98056858055556
,MCRP-5 (LOST),NCR,"NCR - MANILA, FIRST DISTRICT",PARAÑAQUE,MARINA,11/30/1999,LUZON,14,30,26.53473,120,58,39.0152,1604303.121,497575.207,3.0,05/07/1997,1,PRS92,NAMRIA,3,04/11/1997,4,1997,11,05/01/1997,0,3.50572,5,0,10,NAMRIA,120,58,43.91714,14,30,21.13723,14.5058714527778,120.978865872222,47.2549,"MCRP-05 IS IN THE ISLAND OF LUZON, NATIONAL CAPITAL REGION (NCR) METRO MANILA, MUNICIPALITY OF PARAÑAQUE, BRGY. MARINA. IT IS SITUATED ON THE W SIDE OF THE MANILA-CAVITE COASTAL ROAD, INSIDE THE COMPOUND OF ASIAWORLD PROPERTY. LOCATED ON THE S SIDE OF THE SAID PROPERTY 2.5 M. E OF THE EXISTING SEAWALL, ABOUT 250.0 M. SE OF MARINA TWIN TOWERS, AND ABOUT 560.0 M. S 62-51 E FROM CORNER/BOUNDARY MARKED BM-2 ON TOP OF ARMOUR ROCK. STATION IS A 25 CM. X 25 CM. CONCRETE MONUMENT AND MARK IS THE HEAD OF A NAIL. REPORTED BY: LOST BY GEODESY PERSONNEL (MARA O.) SEPT 2018 REASON: NEW CONSTRUCTED BUILDING",TIM,1,1,4.0059 M EGM2008,09/02/2020 8:04:14 AM,282034.06,1604705.453,51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.507370758333334,120.97750422222222
,MCRP-6,NCR,"NCR - MANILA, FIRST DISTRICT",PARAÑAQUE,MARINA,11/30/1999,LUZON,14,30,23.91573,120,58,47.45778,1604222.612,497827.982,3.0,05/07/1997,1,PRS92,NAMRIA,3,04/11/1997,4,1997,11,05/01/1997,0,3.497,1,0,10,NAMRIA,120,58,52.359883,14,30,18.518101,14.5051439169444,120.981211078611,47.2538,"MCRP-06 IS IN THE ISLAND OF LUZON, NATIONAL CAPITAL REGION (NCR) METRO MANILA, MUNICIPALITY OF PARAÑAQUE, BRGY. MARINA. IT IS SITUATED ON THE W SIDE OF MANILA-CAVITE COASTAL ROAD, INSIDE THE COMPOUND OF ASIAWORLD PROPERTY. LOCATED ON THE SOUTHERN SIDE OF THE SAID PROPERTY ABOUT 1.0 KM. S 68° W OF PARAÑAQUE BRIDGE, ABOUT 792.0 M. S 63° E FROM CORNER/BOUNDARY MARKED BM-2 ON TOP OF ARMOUR ROCK, ABOUT 350.0 M. SE OF MARINA TWIN TOWERS, AND ABOUT 2.5 M. E OF THE EXISTING SEAWALL. STATION IS A 25 CM. X 25 CM. CONCRETE MONUMENT AND MARK IS THE HEAD OF A NAIL.",TIM,1,0,4.054M EGM2008,08/03/2022 2:10:22 PM,282286.181,1604622.717,51,282434.39677,1604554.19708,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.506643258333334,120.97984938333333
,MCRP-7,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,LA HUERTA,11/30/1999,LUZON,14,30,11.56387,120,59,18.36887,1603842.961,498753.485,3.0,03/15/2010,0,PRS92,NAMRIA,3,01/21/2014,4,1997,11,11/30/1999,8,8.96657,1,18,10,NAMRIA,120,59,23.271113,14,30,6.168229,14.5017133969444,120.989797531389,52.7542,"MCRP-07 IS IN THE ISLAND OF LUZON, NATIONAL CAPITAL REGION (NCR) METRO MANILA, MUNICIPALITY OF PARAÑAQUE, BRGY. LA HUERTA. IT IS SITUATED ON THE MANILA-CAVITE COASTAL ROAD IN THE CENTER ISLAND ABOUT 15.0 M. FROM THE S APPROACH OF PARAÑAQUE BRIDGE AND OPPOSITE OF FISHERMAN'S WHARF MARKET. STATION IS A 25 CM. X 25 CM. CONCRETE MONUMENT AND MARK IS THE HEAD OF A NAIL.",TIM,1,0,,08/04/2021 3:20:04 PM,283208.543,1604234.895,51,283356.7601,1604166.42151,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.503212186111112,120.98843579722222
,MCRP-8,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,KABIHASNAN,11/30/1999,LUZON,14,29,40.28475,120,59,5.78287,1602881.74,498376.573,3.0,03/15/2010,0,PRS92,NAMRIA,3,01/21/2014,4,1997,11,11/30/1999,8,4.466,1,18,10,NAMRIA,120,59,10.68598,14,29,34.89036,14.4930251,120.986301661111,48.27,"MCRP-08 IS IN THE ISLAND OF LUZON, NATIONAL CAPITAL REGION (NCR) METRO MANILA, MUNICIPALITY OF PARAÑAQUE, BRGY. KABIHASNAN. IT IS SITUATED ON THE MANILA-CAVITE COASTAL ROAD ON ITS W SIDE. IT IS ABOUT 625.0 M. FROM THE S APPROACH OF PARAÑAQUE BRIDGE AND 195.0 M. S 35° W FROM THE W CORNER SIDE OF OVERPASS BRIDGE. STATION IS A 25 CM. X 25 CM. CONCRETE MONUMENT AND MARK IS A 10 MM. DIA. STEEL POINT.",Mara,1,0,,01/03/2019 1:19:58 PM,282823.153,1603276.784,51,282971.40464,1603208.29167,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.494523541666666,120.98493968611112
,MCRP-9,NCR,NCR - FOURTH DISTRICT,CITY OF LAS PIÑAS,DANIEL FAJARDO,11/30/1999,LUZON,14,29,0.28152,120,58,34.99166,1601652.474,497454.464,3.0,03/15/2010,0,PRS92,NAMRIA,3,01/21/2014,4,1997,11,11/30/1999,8,4.24275,1,18,10,NAMRIA,120,58,39.89576,14,28,54.88903,14.4819136194444,120.977748822222,48.057,"MCRP-09 Is in the Island of Luzon, National Capital Region (NCR) Metro Manila, municipality of Las Piñas, Brgy. Daniel Fajardo. It is situated on Manila-Cavite Coastal Road on its W side. It is about 850.0 m. SW from the Coastal Road Toll Gate and it is oppositely located infront of Metro Manila South Garbage Transfer Station. MCRP-9 is a 25 cm. x 25 cm. concrete monument and mark is a 10 mm. dia. steel point.",TIM,1,0,,08/04/2021 3:21:13 PM,281890.118,1602055.333,51,282038.41484,1601986.82387,51,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.483411533333333,120.97638657222222
,MM-103 BM 2019.75,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,ROSARIO,11/30/1999,LUZON,14,35,55.30841,121,5,19.21962,1614408.5,509553.935,3.0,09/25/2019,0,,NAMRIA,2,11/30/1999,0,0,0,09/09/2019,0,11.78071,1,18,10,NAMRIA,121,5,24.11329,14,35,49.89816,14.5971939333333,121.090031469444,55.54098,"MM-103 Mark is located at the sidewalk of the bridge crossing the Mangahan foodway. It is about 1 m from the edge of the sidewalk and approximately 0.20m from the control point of DPWH, BM-1. It is also about 4.00 m NE of the KM 19+500 post. Mark is a 3 in. copper nail, centered and embedded on 15 x 15 cm cement putty with the inscription ""MM-103, 2009, NAMRIA"".",Aila Leana Sampana,0,0,,02/04/2021 2:21:19 PM,294103.473,1614707.392,51,294251.28452,1614639.13822,51,1.0,0.01,0.03,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.598696780555557,121.08867211666666
,MM-136A BM 2018.83,NCR,NCR - FOURTH DISTRICT,PARAÑAQUE CITY,SAN MARTIN DE PORRES,11/30/1999,LUZON,14,29,43.64269,121,2,27.61732,1602985.276,504420.096,3.0,11/30/1999,0,,NAMRIA,2,11/30/1999,0,0,0,10/28/2018,0,23.97834,1,18,10,NAMRIA,121,2,32.52004,14,29,38.25264,14.4939590666667,121.042366677778,67.916,"MM-136A Benchmark is located beside a Km 15 Post along the East Service Road. East of the Benchmark is the entrance of the United Paranaque Subdivision II. On the other side of the East Service Road is the San Martin de Porres barangay Hall near Dr. Arcadio Santos National High School. Mark is 3/8 x 4 inches copper nail, centered and embedded on 15 x 15 cm cement putty with the inscription ""MM-136,2010,NAMRIA""",Aila Leana Sampana,0,0,,02/04/2021 11:26:09 AM,288868.663,1603327.505,51,289016.85962,1603259.19408,51,1.0,0.01,0.05,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.495456302777777,121.04100481111111
,MM-136A BM 2019.75,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,SAN MARTIN DE PORRES,11/30/1999,LUZON,14,29,43.64275,121,2,27.61784,1602985.278,504420.111,3.0,09/26/2019,0,,NAMRIA,2,11/30/1999,0,0,0,09/09/2019,0,23.84992,1,18,10,NAMRIA,121,2,32.52056,14,29,38.2527,14.4939590833333,121.042366822222,67.78758,"MM-136A Benchmark is located beside a Km 15 Post along the East Service Road. East of the Benchmark is the entrance of the United Paranaque Subdivision II. On the other side of the East Service Road is the San Martin de Porres barangay Hall near Dr. Arcadio Santos National High School. Mark is 3/8 x 4 inches copper nail, centered and embedded on 15 x 15 cm cement putty with the inscription ""MM-136,2010,NAMRIA""",Aila Leana Sampana,0,0,,02/04/2021 2:17:34 PM,288868.678,1603327.507,51,289016.87521,1603259.19579,51,1.0,0.01,0.04,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.495456319444443,121.04100495555555
,MM-208 (MMA-3965) BM 2018.83,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,SANTA CRUZ,11/30/1999,LUZON,14,35,21.63471,121,6,25.88557,1613374.518,511549.672,3.0,11/30/1999,0,,NAMRIA,2,11/30/1999,0,0,0,10/28/2018,0,9.51193,1,18,10,NAMRIA,121,6,30.77994,14,35,16.22813,14.5878411472222,121.108549983333,53.344,"BM MM-208 (MMA-3965) Is in the Province of Metro Manila, City of Pasig, Barangay Santa Lucia along Ortigas avenue extension. The station is located at south east end of the sidewalk of Buli bridge at KM. 17+052 about 14 metres from the road centerline Mark is the head of a 4 inches copper nail set flush on a 15cm x 15cm cement putty with inscriptions ""MMA-3965, 2012 LMS NCR""",Aila Leana Sampana,0,0,,02/04/2021 11:27:58 AM,296090.37,1613655.716,51,296238.19522,1613587.52972,51,1.0,0.01,0.03,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.589342975000001,121.10719043611111
,MM-613 BM 2022.75,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,"621, STA ANA DISTRICT",11/30/1999,LUZON,14,35,19.28155,121,1,9.43229,1613299.569,502078.135,3.0,11/08/2022,0,,NAMRIA,2,11/30/1999,0,2013,0,11/07/2022,0,6.17234,1,18,10,NAMRIA,121,1,14.32718,14,35,13.86801,14.5871855583333,121.020646438889,49.792,"MM-613 ACCESS: MM-613 is in Metro Manila, City of Manila, Brgy. 621 Santa Ana District. Station is located along New Panaderos Extension. Established at the E tip of the center island of Lambingan Bridge, beside the concrete base of the tonnage sigh board. STATION MARK: Mark is the head of a 4"" copper nail set flush on a 15 cm x 15 cm cement putty with inscriptions ""MM-613, 2013, NAMRIA"".",TIM,0,0,,11/08/2022 8:24:57 AM,286616.759,1613664.077,51,286764.66688,1613595.60744,51,0.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.588689319444445,121.01928674722222
,MM-62 BM 2022.75,NCR,"NCR - MANILA, FIRST DISTRICT",MANILA,SAN MIGUEL,11/30/1999,LUZON,14,36,6.01559,120,59,23.34195,1614735.707,498902.875,3.0,11/08/2022,0,,NAMRIA,2,11/30/1999,0,2009,0,11/07/2022,0,3.75717,1,18,10,NAMRIA,120,59,28.23589,14,36,0.59664,14.6001657333333,120.991176636111,47.268,"MM-62 ACCESS: MM-62 is in the Metro Manila, City of Manila, Brgy. San Miguel. Station is located at the center island of Mendiola St., approximately 40 m. from the intersection of Legarda, Mendiola and CM Recto.Established near the base a torch monument and about 15 m. NE of a Jollibee Fastfood. STATION MARK: Mark is the head of a 3 inches copper nail, centered and embedded on a 15 x 15 cm cement putty with inscription ""MM-62, 2009, NAMRIA:,",TIM,0,0,,11/08/2022 8:11:43 AM,283453.559,1615128.424,51,283601.45024,1615059.84709,51,0.0,0.0,0.01,0,0,0.0,0,0,0.0,0.0,0.0,0.0,14.601670997222222,120.98981720833333
